category,header,link
นโยบายรัฐบาล-ข่าวสาร,ข่าวปลอม “บิ๊กตู่” เรียกเก็บเงินภาษี 7 % “ก้าวคนละก้าว”,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%81%e0%b9%89%e0%b8%b2%e0%b8%a7%e0%b8%84%e0%b8%99%e0%b8%a5%e0%b8%b0%e0%b8%81%e0%b9%89%e0%b8%b2%e0%b8%a7/
ข่าวอื่นๆ,เว็บคลิกเบทผุดข่าวปลอม เสี่ยตัน ไม่ช่วย พี่ตูน ชาวเน็ตด่าขรมโปรดอย่าแชร์,https://www.antifakenewscenter.com/%e0%b9%80%e0%b8%a7%e0%b9%87%e0%b8%9a%e0%b8%84%e0%b8%a5%e0%b8%b4%e0%b8%81%e0%b9%80%e0%b8%9a%e0%b8%97%e0%b8%9c%e0%b8%b8%e0%b8%94%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1/
ผลิตภัณฑ์สุขภาพ,สธ.เตือน “อย่าเชื่อ-อย่าแชร์” ข่าวปลอมอ้างมีคนตายจากฝุ่นPM2.5,https://www.antifakenewscenter.com/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%84%e0%b8%99%e0%b8%95%e0%b8%b2%e0%b8%a2%e0%b8%88%e0%b8%b2%e0%b8%81%e0%b8%9d%e0%b8%b8%e0%b9%88%e0%b8%99pm2-5/
ยาเสพติด,“ไอซ์ ปรีชญา” เดือด เว็บปลอมกุข่าว โดนรวบปาร์ตี้ยา เตรียมแจ้งความกลับ,https://www.antifakenewscenter.com/%e0%b9%84%e0%b8%ad%e0%b8%8b%e0%b9%8c%e0%b8%9b%e0%b8%a3%e0%b8%b5%e0%b8%8a%e0%b8%8d%e0%b8%b2-%e0%b9%80%e0%b8%a7%e0%b9%87%e0%b8%9a%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1/
ผลิตภัณฑ์สุขภาพ,อย.เตือนอย่าหลงเชื่อคำโฆษณา แผ่นแปะสะดือเผาผลาญไขมัน,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%a2-%e0%b9%80%e0%b8%95%e0%b8%b7%e0%b8%ad%e0%b8%99%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b8%ab%e0%b8%a5%e0%b8%87%e0%b9%80%e0%b8%8a%e0%b8%b7%e0%b9%88%e0%b8%ad/
ยาเสพติด,“โรเบิร์ต สายควัน” วอนหยุดแชร์ข่าวปลอม ยันเลิกยาเสพติดมา 20 ปีแล้ว!!!,https://www.antifakenewscenter.com/%e0%b9%82%e0%b8%a3%e0%b9%80%e0%b8%9a%e0%b8%b4%e0%b8%a3%e0%b9%8c%e0%b8%95-%e0%b8%aa%e0%b8%b2%e0%b8%a2%e0%b8%84%e0%b8%a7%e0%b8%b1%e0%b8%99/
ภัยพิบัติ,แค่ข่าวลือ! วอนหยุดแชร์ภาพเก่าดินสไลด์ ปิดช่องทางเพชรบูรณ์,https://www.antifakenewscenter.com/%e0%b9%81%e0%b8%84%e0%b9%88%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%a7%e0%b8%ad%e0%b8%99%e0%b8%ab%e0%b8%a2%e0%b8%b8%e0%b8%94%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c/
ภัยพิบัติ,อุตุฯ เตือนอย่าหลงเชื่อข่าวปลอม! มีพายุรุนแรงสุดรอบ 10 ปี,https://www.antifakenewscenter.com/%e0%b8%ad%e0%b8%b8%e0%b8%95%e0%b8%b8%e0%b8%af-%e0%b9%80%e0%b8%95%e0%b8%b7%e0%b8%ad%e0%b8%99%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b8%ab%e0%b8%a5%e0%b8%87%e0%b9%80%e0%b8%8a%e0%b8%b7%e0%b9%88%e0%b8%ad/
ผลิตภัณฑ์สุขภาพ,CPALL แจงเหตุข่าวนมเปรี้ยวยี่ห้อดังทำเด็กเสียชีวิต ยันข่าวปลอม จ่อเอาผิดเพจแพร่เผย,https://www.antifakenewscenter.com/cpall-%e0%b9%81%e0%b8%88%e0%b8%87%e0%b9%80%e0%b8%ab%e0%b8%95%e0%b8%b8%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%99%e0%b8%a1%e0%b9%80%e0%b8%9b%e0%b8%a3%e0%b8%b5%e0%b9%89%e0%b8%a2%e0%b8%a7/
นโยบายรัฐบาล-ข่าวสาร,รวบหนุ่มอ้าง กอ.รมน. เก็บเงินรายเดือน ผู้ค้าย่านประตูน้ำ แลกไม่ถูกจับลิขสิทธิ์,https://www.antifakenewscenter.com/%e0%b8%a3%e0%b8%a7%e0%b8%9a%e0%b8%ab%e0%b8%99%e0%b8%b8%e0%b9%88%e0%b8%a1%e0%b8%ad%e0%b9%89%e0%b8%b2%e0%b8%87-%e0%b8%81%e0%b8%ad-%e0%b8%a3%e0%b8%a1%e0%b8%99-%e0%b9%80%e0%b8%81%e0%b9%87%e0%b8%9a/
