header,content,image,link
,หมอญี่ปุ่นพานักแสดงออกมาทดลองกลางรายการ ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน! (มีรูปเปรียบเทียบ) ,,https://cofact.org/article/1li9139uion6w
อย. ยกเลิกเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร เซเว่น เดย์ เซเว่น ดี,ถ้าเราสามารถมีสาร CBD จากกัญชงได้ ผู้ป่วยโรคหอบหืดนับล้านคนทั่วโลก และในประเทศไทยไม่น้อย,,https://cofact.org/article/2resw1pb97bcc
ถั่วพู กินดี แคลเซียมสูง,สำหรับกลุ่มที่ตรวจพบสารกันบูดเกินมาตรฐาน มีจำนวน 7 ตัวอย่าง ได้แก่,,https://cofact.org/article/iegselurn2op
จริงหรือ น้ำเกลือสำหรับใช้ภายนอกช่วยฆ่าเชื้อไวรัสได้,น้ำมะนาวร้อน รักษามะเร็ง,,https://cofact.org/article/2xwlqnz7pav0l
,งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ,,https://cofact.org/article/1ukpajn9vmk8w
คนปลูกเห็ดไม่กินเห็ด  คนขายเห็ดไม่กินเห็ด    เห็ดมีอันตรายจริงหรือ,งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ,,https://cofact.org/article/2g3kc26tc5fqp
จริงหรือ ยาพาราเซตตามอลมีส่วนผสมของไวรัสแมคชูโป,ช่อง 9 เพิ่งออกข่าวภาคค่ำ วันนี้จ๊ะ.ตอนนี้พบ 11จังหวัด รวม,,https://cofact.org/article/1zlt4gkjoo3s3
,“สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !!,,https://cofact.org/article/eh9g8qnoveto
จริงหรือ กินเนื้อหมูกึ่งสุกกึ่งดิบ เสี่ยงเป็น โรคหูดับ,โรตีดิบ,,https://cofact.org/article/3qn3r3nxpsyi
คนปลูกเห็ดไม่กินเห็ด  คนขายเห็ดไม่กินเห็ด    เห็ดมีอันตรายจริงหรือ,บ้านหมุนรักษาด้วยน้ำมะพร้าว,,https://cofact.org/article/3w1687ii3e2rx
กินนมเปรี้ยวผสมโซดาผอมจริงไหม,ดื่มโซดากับนมเปรี้ยวก็ช่วยให้ลดน้ำหนัก,,https://cofact.org/article/2fm5bj6a4r9yj
อย. ยกเลิกเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร เซเว่น เดย์ เซเว่น ดี,ยาถ่ายหรือยาระบายช่วยลดน้ำหนัก,,https://cofact.org/article/3vj978v1oocbo
สหรัฐอเมริกามียาแบบรับประทาน เพื่อรักษาผู้ป่วยไวรัสโคโรนา,น่าคิด. ?..อาจใช่สงครามชีวภาพ..,,https://cofact.org/article/3n4sgq6a3w9qi
,,,https://cofact.org/article/2gfq33fngdryz
หน้ากากอนามัย ซักแล้วใช้ซ้ำได้จริงหรือไม่?,เพื่อนแนะนำว่าให้ซักหน้ากากอนามัย จะได้นำกลับมาใช่ใหม่ได้อีก เป็นการประหยัด,,https://cofact.org/article/2v1kzalthq06u
