category,header,link
mostly-true--last,['หมอญี่ปุ่นพานักแสดงออกมาทดลองกลางรายการ ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน! (มีรูปเปรียบเทียบ) https://board.postjung.com/1166664'],https://cofact.org/article/1li9139uion6w
mostly-true--middle,['ถ้าเราสามารถมีสาร CBD จากกัญชงได้ ผู้ป่วยโรคหอบหืดนับล้านคนทั่วโลก และในประเทศไทยไม่น้อย\n\nจะไม่ต้องทนทุกข์ทรมาณจากยาเคมีอีกต่อไป เพราะสาร CBD มีการศึกษาว่า \n\nช่วยขยายหลอดลม \n\nช่วยลดการอักเสบของหลอดลม\n\nช่วยลดเสมหะในหลอดลม\n\nช่วยลดความไวต่อสิ่งกระตุ้นให้หอบ\n\nซึ่งล้วนเป็นผลดีต่อผู้ป่วยโรคหอบหืด หรือแม้กระทั่งคนที่สูบบุหรี่\n\nในประเทศอิสราเอล กำลังทดสอบและวิจัยเพื่อผลิตยาพ่นแก้โรคหอบหืดจากสาร CBD ทั่วโลกก็มองตลาดนี้เช่นนี้กัน\n\nและจากประสบการณ์ส่วนตัวที่มีโอกาสแนะะนำ ให้ผู้ป่วยกลุ่มนี้ใช้สาร CBD พบว่า\n\nอาการหอบหืดดีขึ้น ไม่หอบบ่อย คุณภาพชีวิตดีขึ้นมาก และถึงแม้จะยังใช้ยาเคมีอยู่ แต่ก็ใช้น้อยลงกว่าเดิมมาก\n\nก่อนใช้ผมช่วยเชคการตีกันของยาให้ด้วย เพื่อการใช้ที่ปลอดภัยและเหมาะสม \n\nอยากให้คนไทย ใช้สมุนไพร กัญชา กัญชง ดูแลชีวิตตัวเองได้ ไม่ต้องฝากชีวิตไว้กับธุรกิจการแพทย์ที่สูบเลือดสูบเนื้อพวกเราที่มากจนเกินไป\n\nMore Science Less Marketing\n\nภก.พงษ์ศักดิ์ สง่าศรี'],https://cofact.org/article/2resw1pb97bcc
true,['สำหรับกลุ่มที่ตรวจพบสารกันบูดเกินมาตรฐาน มีจำนวน 7 ตัวอย่าง ได้แก่\n1) น้ำพริกหนุ่ม ร้านดำรงค์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 890.32 มก./กก.\n2) น้ำพริกหนุ่ม ล้านนา จาก ตลาดของฝากเด่นชัย จ.แพร่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1026.91 มก./กก.\n3) น้ำพริกหนุ่ม นิชา (เจ๊หงษ์ น้ำพริกหนุ่ม) จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1634.20 มก./กก.\n4) น้ำพริกหนุ่ม เจ๊หงษ์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1968.85 มก./กก.\n5) น้ำพริกหนุ่ม แม่ชไมพร จาก ตลาดสดอัศวิน ร้านสิริกรของฝาก จ.ลำปาง พบปริมาณ กรดเบนโซอิก เท่ากับ 2231.82 มก./กก.\n6) น้ำพริกหนุ่ม ยาใจ (รสเผ็ด) จาก ร้านขายของฝากสามแยกเด่นชัย จ.แพร่\nพบปริมาณ กรดเบนโซอิก เท่ากับ 3549.75 มก./กก.\n7) น้ำพริกหนุ่ม อุมา จาก ตลาดสดแม่ต๋ำ จ.พะเยา พบปริมาณ กรดเบนโซอิก เท่ากับ 5649.43 มก./กก.'],https://cofact.org/article/iegselurn2op
false,['น้ำมะนาวร้อน รักษามะเร็ง'],https://cofact.org/article/2xwlqnz7pav0l
false,['งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ'],https://cofact.org/article/1ukpajn9vmk8w
false,['งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ\n9somoz\nงานวิจัยเผยดื่ม เครื่องดื่มแอลกฮอล์ ทุกวันให้ผลดีกว่าการออกกำลังกาย เราถูกปลูกฝั่งใส่สมองแต่เด็กๆถึงโทษของการดื่มแอลกฮอล์ ที่ส่งผลต่อร่างกาย เราคงไม่ออกมาคัดค้านเรื่องดังกล่าวเพราะของบางอย่างหากดื่มเข้าร่างกายมากเกินไปมักส่งผลเสีย แต่หากดื่มในปริมาณที่พอดีก็สามารส่งผลดีต่อร่างกายได้\nhttp://88score.net/news/hot-news/post-16428.html'],https://cofact.org/article/2g3kc26tc5fqp
false,['จริงหรือ ยาพาราเซตตามอลมีส่วนผสมของไวรัสแมคชูโป'],https://cofact.org/article/1zlt4gkjoo3s3
middle,['“สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !!\nสับปะรดสามารถทำลายเซลล์มะเร็ง เพราะสับปะรดป้องกันอันตรายจากอนุมูลอิสระและยังต้านอาการอักเสบได้ ดังนั้น พวกมันลดความเสี่ยงการเกิดเซลล์มะเร็ง โดยบรอมีเลนควบคุมการเจริญเติบโตของเนื้องอกจึงส่งผลให้ไม่เป็นโรคมะเร็ง\nhttp://www.thaitribune.org/contents/detail/342?content_id=24535&rand=1518646951'],https://cofact.org/article/eh9g8qnoveto
false,['โรตีดิบ'],https://cofact.org/article/3qn3r3nxpsyi
,['บ้านหมุนรักษาด้วยน้ำมะพร้าว\n\n• ไปรักษาที่โรงพยาบาล เขาจะเข็มมุ่งไปที่ “น้ำในหู”\n• ส่วนหมอแผนไทยเข็มมุ่งไปที่ “ไตสกปรก”\n\n• วิธีแก้ไข\n- ดื่มน้ำมะพร้าวพร้อมกันห้าลูก เพื่อเพิ่มความดันให้ขับผลึกเกลือที่ค้างในไตออกมา (สำหรับกรณีคนปัสสาวะได้ปกติเพียงมีอาการบ้านหมุน)\nปล. ท่านที่ปัสสาวะขัดห้ามกินน้ำทุกชนิดมากๆเพราะฉี่ไม่ออก อันตรายครับ\n- หลังดื่มน้ำมะพร้าวประมาณหนึ่งชั่วโมงจะปวดปัสสาวะมาก (รีบไปฉี่อย่าอั้นเด็ดขาด)\n\n• ผมจะสอนให้ครับให้สังเกตปัสสาวะ \n- พิจารณากลิ่น กลิ่นฉุนมากบ่งชี้ว่าอะไรค้างคาภายในไต ถ้ากินยามากกลิ่นยานำ ถ้ากินผักผลไม้พวกกรดสูง เช่น ทุเรียน สะตอ กลิ่นไม่ต้องบรรยาย ฯ\n- พิจารณาสี สีเหลืองเข้ม (ดุจขมิ้น) หรือดำออกแดง(ดุจชานหมาก) หรือสีอื่นๆที่ไม่ใสเหมือนน้ำบ่อ แสดงว่าไตยังทำงานได้ แต่ขับของเสียไม่ทัน จึงเก็บสะสมสารพิษจนป่วย นี่แหละสาเหตุบ้านหมุน\n- หลังปัสสาวะแล้วทยอยดื่มเรื่อยๆทีละลูก ให้ปัสสาวะอีก \n- หลังปัสสาวะก็กินน้ำมะพร้าวอีก สลับไปเรื่อยๆจนฉี่ใสและไม่มีกลิ่นก็หยุดกินน้ำมะพร้าวครับ\n• ปล. ถ้าปวดฉี่ห้ามอั้นฉี่ครับ เพราะจะปวดหัวมาก\n\n• หลังจากนี้หนึ่งสัปดาห์อาการบ้านหมุนหรือแพ้อาหารจะค่อยๆบรรเทาลงตามลำดับจนหายปกติ\n- น้ำมะพร้าวกินรักษาจริงๆ คือห้าลูกแรก\n- ส่วนที่เหลือกินน้ำมะพร้าวเพื่อบำรุงป้องกันไต\n- รักษาแบบหมอแผนไทยไม่เร็ว ค่อยเป็นค่อยไป หายก็หยุดกินครับ\n\n• เป็นอีกหนึ่งทางเลือก \n- ท่านอาจหายหรืออาจไม่หาย (ถ้าไม่หายก็ไปหาวิธีอื่นรักษาต่อไปเองนะครับ ถ้ากลัวน้ำมะพร้าวทำให้ป่วยโน้นนี่นั้น ท่านก็อย่ากิน เอาที่ท่านเชื่อเป็นสำคัญ)\n- บ้านหมุนหลายสาเหตุต้องว่าเคสบายเคส แต่วิธีนี้ที่ผมแนะนำผู้ป่วยส่วนใหญ่หายครับ \n- รวมถึงแพ้อาหารจนปากเจ่อหน้าบวม ก็ใช้วิธีนี้รักษา\n- ให้ดีควรกิน 204 ยากษัยเส้น ขับลมพิษในไส้ กินยาสามวันๆละ 5 แคปซูล มื้อเดียวก่อนนอนช่วงท้องว่าง เช้าต้องถ่ายเหลว ถ้าถ่ายมากกว่าสามครั้ง แก้ไขด้วยการดื่มน้ำเย็นใส่น้ำแข็งแก้วใหญ่ๆจะหยุดถ่าย \n- ผมให้กิน 204 เพื่อขับพิษในลำไส้ด้วยอีกทางหนึ่ง ล้างเส้นอึ ล้างเส้นฉี่เมื่อเลือดลมเดินดีดีทุกเรื่องครับ\n\n• ผมเอาประสบการณ์รักษาตนเองเมื่อเจอพิษผงชูรสที่เขมร ลาว หรือเวียดนาม \n- ผมใช้วิธีนี้ล้าง สำหรับผมสามวันหายเป็นปกติ \n- ท่านต้องทดลองกินเองว่ากี่วันหาย ให้จดบันทึกและแจ้งคนในครอบครัวทราบ ภายภาคหน้าท่านป่วยลูกหลานจะได้แก้ไขให้ได้ถูกครับ\n\n• พวกเราเหล่าผู้เฒ่าเต่า เรามามีสุขภาพดีวิถีบวรเวชกันนะครับ เราเน้นธรรมชาติบำบัดรักษาจ๊ะ\n\nหมอบวร จันทร์โภคาไพบูลย์'],https://cofact.org/article/3w1687ii3e2rx
