category,header,content,image,link
mostly-true--last,,หมอญี่ปุ่นพานักแสดงออกมาทดลองกลางรายการ ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน! (มีรูปเปรียบเทียบ) https://board.postjung.com/1166664หมอญี่ปุ่นพานักแสดงออกมาทดลองกลางรายการ ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน! (มีรูปเปรียบเทียบ)https://board.postjung.com/1166664ไม่ใช่แค่คนไทยเท่านั้น แต่ปัญหาผมร่วง ผมบาง ศีรษะล้าน เค้าเป็นกันทั่วโลก แม้แต่คนญี่ปุ่นเองก็ประสบกับปัญหานี้มากกว่า 42 ล้านคน! เพราะฉะนั้นประเทศที่ใส่ใจในรายละเอียดเล็ก ๆ น้อย ๆ เหล่านี้มีหรือจะอยู่เอัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/1li9139uion6w
true,ถั่วพู กินดี แคลเซียมสูง,สำหรับกลุ่มที่ตรวจพบสารกันบูดเกินมาตรฐาน มีจำนวน 7 ตัวอย่าง ได้แก่1) น้ำพริกหนุ่ม ร้านดำรงค์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 890.32 มก./กก.2) น้ำพริกหนุ่ม ล้านนา จาก ตลาดของฝากเด่นชัย จ.แพร่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1026.91 มก./กก.3) น้ำพริกหนุ่ม นิชา (เจ๊หงษ์ น้ำพริกหนุ่ม) จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1634.20 มก./กก.4) น้ำพริกหนุ่ม เจ๊หงษ์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1968.85 มก./กก.5) น้ำพริกหนุ่ม แม่ชไมพร จาก ตลาดสดอัศวิน ร้านสิริกรของฝาก จ.ลำปาง พบปริมาณ กรดเบนโซอิก เท่ากับ 2231.82 มก./กก.6) น้ำพริกหนุ่ม ยาใจ (รสเผ็ด) จาก ร้านขายของฝากสามแยกเด่นชัย จ.แพร่พบปริมาณ กรดเบนโซอิก เท่ากับ 3549.75 มก./กก.7) น้ำพริกหนุ่ม อุมา จาก ตลาดสดแม่ต๋ำ จ.พะเยา พบปริมาณ กรดเบนโซอิก เท่ากับ 5649.43 มก./กก.,,https://cofact.org/article/iegselurn2op
middle,,“สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !!สับปะรดสามารถทำลายเซลล์มะเร็ง เพราะสับปะรดป้องกันอันตรายจากอนุมูลอิสระและยังต้านอาการอักเสบได้ ดังนั้น พวกมันลดความเสี่ยงการเกิดเซลล์มะเร็ง โดยบรอมีเลนควบคุมการเจริญเติบโตของเนื้องอกจึงส่งผลให้ไม่เป็นโรคมะเร็งhttp://www.thaitribune.org/contents/detail/342?content_id=24535&rand=1518646951รู้ไว้นะ “สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !! กับ 10 เหตุผลที่คุณต้องทึ่ง !!http://www.thaitribune.org/contents/detail/342?content_id=24535&rand=1518646951รู้ไว้นะ “สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !! กับ 10 เหตุผลที่คุณต้องทึ่ง !! อัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/eh9g8qnoveto
false,กินนมเปรี้ยวผสมโซดาผอมจริงไหม,ดื่มโซดากับนมเปรี้ยวก็ช่วยให้ลดน้ำหนัก,,https://cofact.org/article/2fm5bj6a4r9yj
false,อย. ยกเลิกเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร เซเว่น เดย์ เซเว่น ดี,ยาถ่ายหรือยาระบายช่วยลดน้ำหนัก,,https://cofact.org/article/3vj978v1oocbo
false,หน้ากากอนามัย ซักแล้วใช้ซ้ำได้จริงหรือไม่?,เพื่อนแนะนำว่าให้ซักหน้ากากอนามัย จะได้นำกลับมาใช่ใหม่ได้อีก เป็นการประหยัด,,https://cofact.org/article/2v1kzalthq06u
mostly-true--middle,"วิจัย ""กระท่อม"" ทำลายเชื้อไวรัสโคโรน่า 2019",นายเทพไท เสนพงศ์ สส.นครศรีธรรมราช พรรคประชาธิปัตย์ กล่าวว่ากำลังให้นักวิจัยศึกษาว่าพืชกระท่อมสามารถใช้แก้โรคโควิด 19 ได้หรือไม่ ถ้าแก้ได้และทันสถานการณ์แพร่ระบาด เราก็จะดังไปทั่วโลก'เทพไท' ชงวิจัย 'กระท่อม' แก้ไวรัสโควิดได้หรือไม่ ถ้าได้เราจะดังทั่วโลกhttps://www.matichon.co.th/politics/news_2062977อนุฯกระท่อมชะลอรับฟังความเห็นประชาชน เหตุโควิด-19 ระบาด ด้าน ‘เทพไท’ เผย เตรียมให้วิจัยสามารถแก้ไวรัสโควิดได้หรือไม่ เมื่อวันที่ 17 มีนาคม ที่รัฐสภา นายเทพไท เสนพงศ์ ส.ส.นครศรีธรรมราช พรรคประชาธิปัตย์อัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/2iulmvf740kdp
false,ไม่ควรทำหน้ากากอนามัยจากกระดาษทิชชู่ ป้องกันไวรัสโควิด 19,มีคลิปแนะนำบนยูทูปและบลอกต่างๆเยอะมากที่สอนทำหน้ากากอนามัยจากกระดาษทิชชู่ เพื่อป้องกันโควิด 19ห่วงใช้ทิชชู่ทำหน้ากากอนามัย - Thaihealth.or.th | สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ (สสส.)https://www.thaihealth.or.th/Content/51401-%E0%B8%AB%E0%B9%88%E0%B8%A7%E0%B8%87%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B8%97%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%81%E0%B8%AD%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B1%E0%B8%A2.htmlที่มา : เว็บไซต์เดลินิวส์ออนไลน์ แฟ้มภาพ จากข้อมูลสื่อออนไลน์มีการแชร์คลิปการนำกระดาษอเนกประสงค์ และกระดาษทิชชู่ มาทำหน้ากากอนามัยสำหรับใช้ในแต่ละวัน “กรมวิทยาศาสตร์บริการ” ระบุไม่เหมาะสมกับการนำมอัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/lw2ynfdy3dm9
middle,อันตราย! ทำแอลกอฮอล์ล้างแผลทำเจลล้างมือใช้เอง อาจฆ่าเชื้อโควิด 2019 ไม่ได้,แพทย์ มธ. เผยเจลล้างมือที่ฆ่าเชื้อ โควิด-19 ได้ ต้องมีความเข้มข้น 70% ให้ชัวร์ต้องใช้แอลกอฮอล์ล้างแผลเพราะไม่เข้มข้นมันไม่ตาย เตือนไม่ควรสัมผัสหน้ากากฝั่งสีเข้มหลังสวมใส่ อาจปนเปื้อนเชื้อได้https://www.thairath.co.th/news/local/bangkok/1779133อัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/4ph8s1kc9zdc
false,ใช้สมุนไพรผงอบเชยชงกับน้ำมะนาว เบกกิ้งโซดา และไวน์แดง ยับยั้งโควิด 19 ได้จริงหรือ?,สูตรรักษาไวรัสโคโรนา ใช้สมุนไพรผงอบเชยชงกับ น้ำมะนาว เบกกิ้งโซดา และไวน์แดง ให้ดื่มทุก 3 ชม. ก็จะหายเป็นปกติ,,https://cofact.org/article/2uxrxffmoim90
