category,header,link
mostly-true--last,หมอญี่ปุ่นพานักแสดงออกมาทดลองกลางรายการ ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน! (มีรูปเปรียบเทียบ) https://board.postjung.com/1166664,https://cofact.org/article/1li9139uion6w
mostly-true--middle,ถ้าเราสามารถมีสาร CBD จากกัญชงได้ ผู้ป่วยโรคหอบหืดนับล้านคนทั่วโลก และในประเทศไทยไม่น้อย จะไม่ต้องทนทุกข์ทรมาณจากยาเคมีอีกต่อไป เพราะสาร CBD มีการศึกษาว่า ช่วยขยายหลอดลม ช่วยลดการอักเสบของหลอดลม ช่วยลดเสมหะในหลอดลม ช่วยลดความไวต่อสิ่งกระตุ้นให้หอบ ซึ่งล้วนเป็นผลดีต่อผู้ป่วยโรคหอบหืด หรือแม้กระทั่งคนที่สูบบุหรี่ ในประเทศอิสราเอล กำลังทดสอบและวิจัยเพื่อผลิตยาพ่นแก้โรคหอบหืดจากสาร CBD ทั่วโลกก็มองตลาดนี้เช่นนี้กัน และจากประสบการณ์ส่วนตัวที่มีโอกาสแนะะนำ ให้ผู้ป่วยกลุ่มนี้ใช้สาร CBD พบว่า อาการหอบหืดดีขึ้น ไม่หอบบ่อย คุณภาพชีวิตดีขึ้นมาก และถึงแม้จะยังใช้ยาเคมีอยู่ แต่ก็ใช้น้อยลงกว่าเดิมมาก ก่อนใช้ผมช่วยเชคการตีกันของยาให้ด้วย เพื่อการใช้ที่ปลอดภัยและเหมาะสม อยากให้คนไทย ใช้สมุนไพร กัญชา กัญชง ดูแลชีวิตตัวเองได้ ไม่ต้องฝากชีวิตไว้กับธุรกิจการแพทย์ที่สูบเลือดสูบเนื้อพวกเราที่มากจนเกินไป More Science Less Marketing ภก.พงษ์ศักดิ์ สง่าศรี,https://cofact.org/article/2resw1pb97bcc
true,สำหรับกลุ่มที่ตรวจพบสารกันบูดเกินมาตรฐาน มีจำนวน 7 ตัวอย่าง ได้แก่ 1) น้ำพริกหนุ่ม ร้านดำรงค์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 890.32 มก./กก. 2) น้ำพริกหนุ่ม ล้านนา จาก ตลาดของฝากเด่นชัย จ.แพร่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1026.91 มก./กก. 3) น้ำพริกหนุ่ม นิชา (เจ๊หงษ์ น้ำพริกหนุ่ม) จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1634.20 มก./กก. 4) น้ำพริกหนุ่ม เจ๊หงษ์ จาก ตลาดวโรรส จ.เชียงใหม่ พบปริมาณ กรดเบนโซอิก เท่ากับ 1968.85 มก./กก. 5) น้ำพริกหนุ่ม แม่ชไมพร จาก ตลาดสดอัศวิน ร้านสิริกรของฝาก จ.ลำปาง พบปริมาณ กรดเบนโซอิก เท่ากับ 2231.82 มก./กก. 6) น้ำพริกหนุ่ม ยาใจ (รสเผ็ด) จาก ร้านขายของฝากสามแยกเด่นชัย จ.แพร่ พบปริมาณ กรดเบนโซอิก เท่ากับ 3549.75 มก./กก. 7) น้ำพริกหนุ่ม อุมา จาก ตลาดสดแม่ต๋ำ จ.พะเยา พบปริมาณ กรดเบนโซอิก เท่ากับ 5649.43 มก./กก.,https://cofact.org/article/iegselurn2op
false,น้ำมะนาวร้อน รักษามะเร็ง,https://cofact.org/article/2xwlqnz7pav0l
false,งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ,https://cofact.org/article/1ukpajn9vmk8w
false,งานวิจัยเผย “เครื่องดื่มแอลกอฮอล์” มีผลดีต่อสุขภาพ 9somoz งานวิจัยเผยดื่ม เครื่องดื่มแอลกฮอล์ ทุกวันให้ผลดีกว่าการออกกำลังกาย เราถูกปลูกฝั่งใส่สมองแต่เด็กๆถึงโทษของการดื่มแอลกฮอล์ ที่ส่งผลต่อร่างกาย เราคงไม่ออกมาคัดค้านเรื่องดังกล่าวเพราะของบางอย่างหากดื่มเข้าร่างกายมากเกินไปมักส่งผลเสีย แต่หากดื่มในปริมาณที่พอดีก็สามารส่งผลดีต่อร่างกายได้ http://88score.net/news/hot-news/post-16428.html,https://cofact.org/article/2g3kc26tc5fqp
false,"ช่อง 9 เพิ่งออกข่าวภาคค่ำ วันนี้จ๊ะ.ตอนนี้พบ 11จังหวัด รวม กทม ด้วย. คำเตือนด่วน ให้ระวังการใช้ยาพาราเซทตาม่อนซึ่งมีชื่อว่า p/500 เป็นยาที่ออกใหม่ เม็ดยาสีขาวและเคลือบมันจนเป็นประกายมาก หมอยาแนะนำว่า ยานี้มีส่วนผสมของไวรัสชื่อ ""แมคชูโป""ซึ่งเป็นไวรัสที่อันตรายร้ายแรงชนิดหนึ่งของโลก โปรดกระจายข่าวสารนี้ให้ประชาชนได้รับทราบรวมทั้งคนในครอบครัวด้วย เพื่อความปลอดภัยต่อชีวิตและสุขภาพ",https://cofact.org/article/1zlt4gkjoo3s3
middle,“สับปะรด”ทำลายเซลล์มะเร็ง ผลไม้มหัศจรรย์ ที่ไม่ควรมองข้าม !! สับปะรดสามารถทำลายเซลล์มะเร็ง เพราะสับปะรดป้องกันอันตรายจากอนุมูลอิสระและยังต้านอาการอักเสบได้ ดังนั้น พวกมันลดความเสี่ยงการเกิดเซลล์มะเร็ง โดยบรอมีเลนควบคุมการเจริญเติบโตของเนื้องอกจึงส่งผลให้ไม่เป็นโรคมะเร็ง http://www.thaitribune.org/contents/detail/342?content_id=24535&rand=1518646951,https://cofact.org/article/eh9g8qnoveto
,"(ประกาศ)อันตรายสูงสุด มีผู้พยายามสร้างสงครามศาสนาในไทย (see-no-evil ) (newspaper)ข้อมูลข่าวสาร…ทางสื่อสังคมออนไลน์…ที่ออกมามากในช่วงหลัง … โดยเฉพาะ เกี่ยวกับศาสนาอิสลามนั้น…ส่วนใหญ่ไม่ตรงตามความเป็นจริง…หรือ เป็นข้อมูลเท็จ…ที่มีการเสริมเพิ่มความเท็จเข้าไปค่อนข้างมาก…มีลักษณะ…เป็นการนำเข้าข้อมูล…และ…เป็นการเผยแพร่ข้อมูลอันเป็นเท็จ…ผ่านระบบคอมพิวเตอร์…ซึ่งเป็นความผิดทางอาญาตามกฎหมาย…ผู้ที่ส่งต่อข้อมูลต่างๆดังกล่าว ย่อมจะมีความผิดไปด้วย…จึงต้องระวังในการส่งต่อให้มาก ~ เช่น ข้อมูลเท็จที่ว่า… รัฐบาลชุดปัจจุบัน …ภายใต้การนำของพลเอกประยุทธ์ จันทร์โอชา นายกรัฐมนตรี …ได้สนับสนุนงบประมาณในการก่อสร้างมัสยิด และมัสยิดกลางประจำจังหวัด…จำนวนหลายแห่ง ตลอดจนตั้งเงินเดือนโต๊ะอิหม่าม เดือนละ 18000 บาท และ คณะกรรมการประจำมัสยิดมีเงินเดือนทุกคน นั้น กรมการปกครอง กระทรวงมหาดไทย ได้ชี้แจงว่า ข่าวสารดังกล่าวส่วนใหญ่เป็นเรื่องเท็จ และเป็นการบิดเบือนข้อเท็จจริง จึงขอให้ข้อมูลที่ถูกต้องเพื่อประชาชนทุกคนจะได้ทราบความจริง ดังนี้ 1.มัสยิดกลางประจำจังหวัด…ที่กล่าวอ้างถึงในสื่อสังคมออนไลน์ข้างต้น มีข้อเท็จจริง ดังนี้ 1.1 มัสยิดกลาง…ประจำจังหวัดนครศรีธรรมราช …ก่อสร้างด้วยงบประมาณแผ่นดิน จำนวน 104 ล้านบาทเศษ แต่เป็นโครงการที่ผูกพันมาจากการอนุมัติของคณะรัฐมนตรีในขณะนั้น (พ.ศ.2555) มิใช่ รัฐบาลในปัจจุบัน โดยเป็นงบผูกพัน 3 ปี พ.ศ.2557-2559 ซึ่งมอบหมายให้กรมการปกครอง เป็นหน่วยขอรับงบประมาณ และโอนจัดสรรให้แก่ จ.นครศรีธรรมราช มิได้เป็นการอนุมัติของ ครม.ชุดปัจจุบันแต่อย่างใด 1.2 มัสยิดกลางประจำจังหวัดนนทบุรี …เป็นการก่อสร้างอาคารศูนย์บริหารกิจการศาสนาอิสลาม…จังหวัดนนทบุรี …ซึ่งก่อสร้างด้วยงบประมาณ…ขององค์การบริหารส่วนจังหวัดนนทบุรี จำนวน 85 ล้านบาท …มิได้เกิดจากการอนุมัติของ ครม.ชุดปัจจุบัน 1.3 มัสยิดกลางประจำจังหวัดปัตตานี …จังหวัดนราธิวาส และจังหวัดยะลา เป็นมัสยิดกลาง…ที่มีมาแต่ดั้งเดิมแล้ว บางแห่งสร้างมาตั้งแต่ พ.ศ.2424 พ.ศ.2468 และ พ.ศ.2497 โดยเงินส่วนใหญ่…ที่ใช้ในการก่อสร้าง…ก็มาจากเงินบริจาคของประชาชนในพื้นที่ …แต่อาจมีการสนับสนุนงบประมาณจากรัฐบาลในขณะนั้นบ้าง …ตามนโยบายด้านความมั่นคง …มิใช่การก่อสร้างขึ้นใหม่แต่อย่างใด… ซึ่งรัฐบาลในยุคต่อๆ มา (หลายรัฐบาล) ได้จัดสรรงบประมาณ…เพื่อการบูรณะและต่อเติมให้มีความมั่นคงแข็งแรงและปลอดภัย…ต่อชาวไทยมุสลิม…ที่มาประกอบกิจกรรมทางศาสนา …ซึ่งใช้งบประมาณจำนวน 22 ล้านบาทบ้าง 28 ล้านบาทบ้าง สูงสุดประมาณ 35 ล้านบาทเท่านั้น มิใช่ เป็นเงินจำนวนมาก ที่กล่าวอ้างโจมตี 1.4 มัสยิดกลางประจำจังหวัดภูเก็ต …มีจุดประสงค์ให้เป็นศูนย์บริหารกิจการศาสนาอิสลามจังหวัดภูเก็ต…และศูนย์พัฒนาอาหารฮาลาล …ไม่ใช่อาคารมัสยิดกลางประจำจังหวัด …ก่อสร้างโดยงบประมาณขององค์ปกครองส่วนท้องถิ่นในจังหวัดภูเก็ต …และเงินบริจาคของประชาชนในจังหวัดภูเก็ต …จำนวน 250 ล้านบาทเศษ…มิใช่ งบประมาณจากรัฐบาล 1.5 สำหรับจังหวัดมุกดาหาร จังหวัดร้อยเอ็ด และ จังหวัดบึงกาฬ ยังไม่มีมัสยิดกลาง จะมีเฉพาะมัสยิดทั่วๆ ไป ซึ่งมาจากเงินบริจาคของประชาชนเท่านั้น 2. เนื่องจากผู้นำศาสนาอิสลาม…มีอำนาจหน้าที่ตามพระราชบัญญัติการบริหารองค์กรศาสนาอิสลาม พ.ศ.2540 ในการดูแลพี่น้องชาวไทยมุสลิมในเรื่องต่างๆ เช่น การจัดทำทะเบียนสัปปุรุษ การสอนหลักธรรมศาสนาให้สัปปุรุษ การออกหนังสือรับรองการสมรสตามหลักศาสนา การจัดกิจกรรมทางศาสนา และการประนีประนอมข้อพิพาท ว่าด้วยครอบครัวและมรดกตามหลักศาสนา ดังนั้น รัฐจึงได้กำหนดให้ผู้นำทางศาสนาบางตำแหน่ง…ได้รับเงินค่าตอบแทนมาตั้งแต่ พ.ศ.2539 ซึ่งก็ได้มีการปรับปรุงค่าตอบแทนให้เหมาะสมกับสภาพทางเศรษฐกิจโดยปัจจุบัน 2.1 อิหม่าม ได้ค่าตอบแทนเดือนละ 1200 บาท 2.2 คอเต็บ และบิหลั่น เดือนละ 1000 บาท 2.3 ประธานกรรมการอิสลามประจำจังหวัด ได้รับค่าตอบแทนเดือนละ 1900 2700 หรือ 3500 บาท ขึ้นอยู่กับจำนวนมัสยิดในแต่ละจังหวัด 2.4 กรรมการอิสลามประจำจังหวัด และกรรมการอิสลามประจำมัสยิด ไม่มีค่าตอบแทนแต่อย่างใด 2.5 นอกจากนี้ กรรมการกลางอิสลามแห่งประเทศไทย และกรรมการอิสลามประจำจังหวัดได้รับค่าเบี้ยประชุมครั้งละ 1100 บาท ตามพระราชกฤษฎีกาว่าด้วยเบี้ยประชุมกรรมการ พ.ศ.2547 อีกด้วย ~ อนึ่ง ได้ทราบว่า นายกฯประยุทธ์ ฯ ได้ชี้แจงว่า ""ตนเองและภริยานั้น เป็นผู้นับถือศาสนาพุทธ 100% และ ห้อยพระตลอด ส่วนภริยาก็สวดมนต์ไหว้พระตลอด ไม่ได้นับถือศาสนาอิสลาม ตามการกล่าวหาในสื่อสังคมออนไลน์ ~ ดังนั้น ข่าวสารทางสื่อสังคมออนไลน์…ในกรณีต่างๆดังกล่าว …จึงเป็นการให้ข้อมูลอันเป็นเท็จ…และบิดเบือนข้อเท็จจริง …เพื่อสร้างความขัดแย้งในสังคมไทย …ซึ่งเป็นสังคมพหุวัฒนธรรม …อีกทั้งยังเป็นการสร้างความเข้าใจผิดต่อรัฐบาลชุดปัจจุบัน …นอกจากนี้การกระทำดังกล่าว…ยังเป็นการนำเข้าข้อมูลและเผยแพร่ข้อมูลอันเป็นเท็จ…ผ่านระบบคอมพิวเตอร์ซึ่งเป็นความผิดตามกฎหมายอาญาอีกด้วย จึงเป็นสิ่งที่พวกเรา พึงต้องระวังการส่งต่อข้อมูลข่าวสารอันเป็นเท็จด้วยนะครับ (Unity)(Unity)(Unity)(Unity)(Unity)",https://cofact.org/article/7jq9rctqt1a9
false,โรตีดิบ,https://cofact.org/article/3qn3r3nxpsyi
