header,link,time
ชัวร์ก่อนแชร์ : เทคนิคซักผ้าด้วยเครื่องไม่ทำให้ผ้าพันกัน จริงหรือ?,https://tna.mcot.net/tna-101176,01/01/2513 00:00
ชัวร์ก่อนแชร์ : ยาแอสไพรินช่วยซักผ้าขาวสะอาด จริงหรือ?,https://tna.mcot.net/tna-100770,01/01/2513 00:00
ชัวร์ก่อนแชร์ : มะเร็งต้องเลิกบำรุงจริงหรือ?,https://tna.mcot.net/tna-93791,30/01/2559 13:38
ชัวร์ก่อนแชร์ : เปิดแอร์ใส่หน้าเด็ก ทำให้เป็นอัมพาตจริงหรือ?,https://tna.mcot.net/tna-93790,06/02/2559 15:02
ชัวร์ก่อนแชร์ : ระวัง 10 ขนมขบเคี้ยวอันตราย! จริงหรือ?,https://tna.mcot.net/tna-93789,13/02/2559 13:51
ชัวร์ก่อนแชร์ : ดื่มน้ำเย็นเป็นพิษต่อร่างกายจริงหรือ?,https://tna.mcot.net/tna-93788,20/02/2559 13:39
ชัวร์ก่อนแชร์ : เปลี่ยนวันที่บน iPhone ดูโลโก้สีรุ้ง จริงหรือ?,https://tna.mcot.net/tna-93783,21/02/2559 13:46
ชัวร์ก่อนแชร์ : อาหารที่ห้ามกินตอนหิวมีจริงหรือ?,https://tna.mcot.net/tna-93781,12/03/2559 14:04
ชัวร์ก่อนแชร์ : ดื่มน้ำจากลำไผ่ สลายก้อนนิ่วได้จริงหรือ?,https://tna.mcot.net/tna-93779,13/03/2559 13:59
ชัวร์ก่อนแชร์ : คลินิกฟอกไตฟรี มีจริงหรือ ?,https://tna.mcot.net/tna-93780,25/03/2559 05:44
ชัวร์ก่อนแชร์ : โปรไบโอติก รักษามะเร็งหายขาดจริงหรือ?,https://tna.mcot.net/tna-93778,26/03/2559 14:43
ชัวร์ก่อนแชร์ : กลั้นปัสสาวะทำให้เสียชีวิตจริงหรือ?,https://tna.mcot.net/tna-93776,27/03/2559 13:51
ชัวร์ก่อนแชร์ : แสงสีฟ้าทำลายจอประสาทตาจริงหรือ?,https://tna.mcot.net/tna-93775,09/04/2559 14:13
ชัวร์ก่อนแชร์ : ดื่มน้ำตอนท้องว่างได้ประโยชน์จริงหรือ?,https://tna.mcot.net/tna-93774,17/04/2559 13:23
ชัวร์ก่อนแชร์ : ไทยต้องระวังรังสียูวีระดับสูงสุดจริงหรือ ?,https://tna.mcot.net/tna-93768,18/04/2559 13:10
ชัวร์ก่อนแชร์ : งูในดอกกะหล่ำ จริงหรือ?,https://tna.mcot.net/tna-93766,20/04/2559 13:47
ชัวร์ก่อนแชร์ : ปรากฏการณ์ Hunter Moon มีจริงหรือ?,https://tna.mcot.net/tna-93765,22/04/2559 12:58
ชัวร์ก่อนแชร์ : ห้ามใช้มือถือเป็นไฟฉายส่องตู้ไฟฟ้าบ้านจริงหรือ?,https://tna.mcot.net/tna-93764,25/04/2559 14:35
ชัวร์ก่อนแชร์ : เผยความจริง! เบื้องหลังคลิปตีลังกากระแทกขอบสระน้ำ,https://tna.mcot.net/tna-93760,27/04/2559 14:07
